date,state,county,retail,grocery,parks,transit,workplaces,residential,Non_Residential
2020-03-03,Virginia,Radford,29.0,16.0,,,5.0,,16.666666666666668
2020-03-03,Virginia,Richmond,18.0,15.0,41.0,13.0,0.0,-2.0,17.4
2020-03-03,Virginia,Richmond County,22.0,-4.0,,,11.0,,9.666666666666666
2020-03-03,Virginia,Roanoke,19.0,14.0,63.0,-1.0,1.0,-1.0,19.2
2020-03-03,Virginia,Roanoke County,13.0,8.0,,,-8.0,1.0,4.333333333333333
2020-03-03,Virginia,Rockbridge County,9.0,,,-2.0,2.0,,3.0
2020-03-03,Virginia,Rockingham County,16.0,7.0,,2.0,-7.0,1.0,4.5
2020-03-03,Virginia,Russell County,24.0,7.0,,,-11.0,,6.666666666666667
2020-03-03,Virginia,Salem,11.0,12.0,,,-1.0,-1.0,7.333333333333333
2020-03-03,Virginia,Scott County,12.0,8.0,,,2.0,,7.333333333333333
2020-03-03,Virginia,Shenandoah County,20.0,4.0,,-15.0,0.0,-1.0,2.25
2020-03-03,Virginia,Smyth County,29.0,18.0,,,0.0,-1.0,15.666666666666666
2020-03-03,Virginia,Southampton County,22.0,12.0,,,1.0,,11.666666666666666
2020-03-03,Virginia,Spotsylvania County,18.0,8.0,,,-10.0,1.0,5.333333333333333
2020-03-03,Virginia,Stafford County,18.0,5.0,,,-12.0,3.0,3.6666666666666665
2020-03-03,Virginia,Staunton,15.0,13.0,,,1.0,-2.0,9.666666666666666
2020-03-03,Virginia,Suffolk,16.0,14.0,,7.0,-7.0,0.0,7.5
2020-03-03,Virginia,Surry County,,,,,2.0,,2.0
2020-03-03,Virginia,Sussex County,,20.0,,-8.0,1.0,,4.333333333333333
2020-03-03,Virginia,Tazewell County,30.0,18.0,,,7.0,-2.0,18.333333333333332
2020-03-03,Virginia,Virginia Beach,13.0,9.0,37.0,6.0,-7.0,1.0,11.6
2020-03-03,Virginia,Warren County,17.0,7.0,,,-1.0,-1.0,7.666666666666667
2020-03-03,Virginia,Washington County,19.0,24.0,,6.0,-11.0,1.0,9.5
2020-03-03,Virginia,Waynesboro,30.0,15.0,,,1.0,-2.0,15.333333333333334
2020-03-03,Virginia,Westmoreland County,,15.0,,,9.0,,12.0
2020-03-03,Virginia,Williamsburg,11.0,20.0,,,11.0,,14.0
2020-03-03,Virginia,Winchester,12.0,8.0,,,-5.0,1.0,5.0
2020-03-03,Virginia,Wise County,35.0,9.0,,,4.0,-2.0,16.0
2020-03-03,Virginia,Wythe County,15.0,8.0,,-1.0,3.0,-1.0,6.25
2020-03-03,Virginia,York County,20.0,3.0,26.0,,1.0,-1.0,12.5
2020-03-04,Virginia,Accomack County,11.0,9.0,,,2.0,-2.0,7.333333333333333
2020-03-04,Virginia,Albemarle County,9.0,7.0,,12.0,1.0,-1.0,7.25
2020-03-04,Virginia,Alexandria,5.0,10.0,51.0,3.0,4.0,-1.0,14.6
2020-03-04,Virginia,Alleghany County,13.0,,,9.0,0.0,,7.333333333333333
2020-03-04,Virginia,Amelia County,10.0,-11.0,,,2.0,,0.3333333333333333
2020-03-04,Virginia,Amherst County,22.0,8.0,,,2.0,-2.0,10.666666666666666
2020-03-04,Virginia,Appomattox County,14.0,,,,5.0,,9.5
2020-03-04,Virginia,Arlington County,5.0,7.0,-23.0,4.0,1.0,-1.0,-1.2
2020-03-04,Virginia,Augusta County,17.0,17.0,,77.0,3.0,-1.0,28.5
2020-03-04,Virginia,Bedford County,8.0,1.0,,,2.0,-1.0,3.6666666666666665
2020-03-04,Virginia,Bland County,,,,16.0,,,16.0
2020-03-04,Virginia,Botetourt County,3.0,18.0,,-2.0,1.0,-1.0,5.0
2020-03-04,Virginia,Bristol,18.0,6.0,,,-1.0,,7.666666666666667
2020-03-04,Virginia,Brunswick County,2.0,,,14.0,1.0,,5.666666666666667
2020-03-04,Virginia,Buchanan County,19.0,4.0,,,7.0,,10.0
2020-03-04,Virginia,Buckingham County,12.0,2.0,,,1.0,,5.0
2020-03-04,Virginia,Buena Vista,,,,,2.0,,2.0
2020-03-04,Virginia,Campbell County,18.0,9.0,,,3.0,-2.0,10.0
2020-03-04,Virginia,Caroline County,-2.0,-10.0,,8.0,1.0,-1.0,-0.75
2020-03-04,Virginia,Carroll County,10.0,12.0,,5.0,3.0,-2.0,7.5
2020-03-04,Virginia,Charles City County,,,,,0.0,,0.0
2020-03-04,Virginia,Charlotte County,,10.0,,,-4.0,,3.0
2020-03-04,Virginia,Charlottesville,5.0,5.0,27.0,-18.0,1.0,0.0,4.0
2020-03-04,Virginia,Chesapeake,11.0,-2.0,50.0,4.0,3.0,-1.0,13.2
2020-03-04,Virginia,Chesterfield County,9.0,5.0,29.0,1.0,3.0,-1.0,9.4
2020-03-04,Virginia,Clarke County,30.0,4.0,,,7.0,,13.666666666666666
2020-03-04,Virginia,Colonial Heights,15.0,14.0,,,0.0,,9.666666666666666
2020-03-04,Virginia,Covington,18.0,,,,,,18.0
2020-03-04,Virginia,Culpeper County,8.0,14.0,,,1.0,-1.0,7.666666666666667
2020-03-04,Virginia,Cumberland County,,,,,1.0,,1.0
2020-03-04,Virginia,Danville,17.0,17.0,,,-1.0,-1.0,11.0
2020-03-04,Virginia,Dickenson County,,,,,3.0,,3.0
2020-03-04,Virginia,Dinwiddie County,32.0,-5.0,,,0.0,-1.0,9.0
2020-03-04,Virginia,Emporia,15.0,11.0,,0.0,4.0,,7.5
2020-03-04,Virginia,Essex County,14.0,13.0,,,3.0,,10.0
2020-03-04,Virginia,Fairfax,1.0,-1.0,,,0.0,-1.0,0.0
2020-03-04,Virginia,Fairfax County,5.0,8.0,20.0,2.0,2.0,-1.0,7.4
2020-03-04,Virginia,Falls Church,-6.0,15.0,,,-2.0,,2.3333333333333335
2020-03-04,Virginia,Fauquier County,10.0,-9.0,,,4.0,-2.0,1.6666666666666667
2020-03-04,Virginia,Floyd County,,6.0,,,4.0,,5.0
2020-03-04,Virginia,Fluvanna County,6.0,7.0,,,6.0,-2.0,6.333333333333333
2020-03-04,Virginia,Franklin,20.0,14.0,,2.0,3.0,,9.75
2020-03-04,Virginia,Franklin County,15.0,8.0,,,3.0,-1.0,8.666666666666666
2020-03-04,Virginia,Frederick County,12.0,7.0,,0.0,4.0,-1.0,5.75
2020-03-04,Virginia,Fredericksburg,10.0,13.0,,,-2.0,-2.0,7.0
2020-03-04,Virginia,Galax,25.0,14.0,,,-11.0,,9.333333333333334
2020-03-04,Virginia,Giles County,17.0,-8.0,,,-1.0,,2.6666666666666665
2020-03-04,Virginia,Gloucester County,11.0,16.0,,,4.0,-1.0,10.333333333333334
2020-03-04,Virginia,Goochland County,24.0,5.0,,,2.0,,10.333333333333334
2020-03-04,Virginia,Grayson County,,,,,4.0,,4.0
2020-03-04,Virginia,Greene County,15.0,4.0,,,2.0,,7.0
2020-03-04,Virginia,Greensville County,,,,13.0,-3.0,,5.0
2020-03-04,Virginia,Halifax County,11.0,4.0,,,4.0,-1.0,6.333333333333333
2020-03-04,Virginia,Hampton,10.0,13.0,30.0,3.0,2.0,-1.0,11.6
2020-03-04,Virginia,Hanover County,7.0,4.0,,0.0,3.0,-1.0,3.5
2020-03-04,Virginia,Harrisonburg,10.0,6.0,,-5.0,4.0,-3.0,3.75
2020-03-04,Virginia,Henrico County,9.0,8.0,41.0,4.0,2.0,-1.0,12.8
2020-03-04,Virginia,Henry County,20.0,7.0,,,4.0,-1.0,10.333333333333334
2020-03-04,Virginia,Hopewell,19.0,5.0,,,4.0,-2.0,9.333333333333334
2020-03-04,Virginia,Isle of Wight County,8.0,2.0,,,2.0,0.0,4.0
2020-03-04,Virginia,James City County,12.0,9.0,,,3.0,-1.0,8.0
2020-03-04,Virginia,King George County,6.0,6.0,,,0.0,-1.0,4.0
2020-03-04,Virginia,King William County,4.0,8.0,,,-2.0,,3.3333333333333335
2020-03-04,Virginia,King and Queen County,,,,,-4.0,,-4.0
2020-03-04,Virginia,Lancaster County,9.0,43.0,,,5.0,,19.0
2020-03-04,Virginia,Lee County,31.0,10.0,,,3.0,,14.666666666666666
2020-03-04,Virginia,Lexington,19.0,-19.0,,,,,0.0
2020-03-04,Virginia,Loudoun County,3.0,4.0,17.0,0.0,0.0,-1.0,4.8
